n_kcs,turns,tau,gain,decay,readiness,noise,graph,prior,policy,fraction_mastered
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,fixed_curriculum_no_skip,0.08458333333333332
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,prereq_lowest_first_previous,0.15333333333333332
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,filtered_curriculum_index_order,0.5458333333333333
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,filtered_curriculum_random_topo,0.5474999999999999
12,120,0.8,0.185,0.004,0.8,0.05,chains,uniform,mta,0.5658333333333333
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,greedy_lowest_first,0.011666666666666665
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,random_unmastered,0.09416666666666666
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,fixed_curriculum_no_skip,0.08458333333333332
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,prereq_lowest_first_previous,0.125
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,filtered_curriculum_index_order,0.4475
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,filtered_curriculum_random_topo,0.4554166666666667
12,120,0.8,0.185,0.004,0.8,0.1,chains,uniform,mta,0.4958333333333333
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,random_unmastered,0.05416666666666667
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,fixed_curriculum_no_skip,0.0575
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,prereq_lowest_first_previous,0.2341666666666667
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,filtered_curriculum_index_order,0.6120833333333333
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,filtered_curriculum_random_topo,0.6079166666666667
12,120,0.8,0.185,0.004,0.6,0.0,chains,uniform,mta,0.6120833333333333
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,random_unmastered,0.049166666666666664
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,fixed_curriculum_no_skip,0.0575
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,prereq_lowest_first_previous,0.12708333333333333
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,filtered_curriculum_index_order,0.5416666666666666
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,filtered_curriculum_random_topo,0.54375
12,120,0.8,0.185,0.004,0.6,0.05,chains,uniform,mta,0.5645833333333333
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,random_unmastered,0.04166666666666666
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,fixed_curriculum_no_skip,0.0575
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,prereq_lowest_first_previous,0.11625
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,filtered_curriculum_index_order,0.44541666666666674
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,filtered_curriculum_random_topo,0.45458333333333334
12,120,0.8,0.185,0.004,0.6,0.1,chains,uniform,mta,0.4954166666666666
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,random_unmastered,0.02333333333333333
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,prereq_lowest_first_previous,0.0925
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,filtered_curriculum_index_order,0.3154166666666666
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,filtered_curriculum_random_topo,0.31958333333333333
12,120,0.8,0.185,0.008,1.0,0.0,chains,uniform,mta,0.32208333333333333
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,random_unmastered,0.01625
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,prereq_lowest_first_previous,0.05125
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,filtered_curriculum_index_order,0.30208333333333337
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,filtered_curriculum_random_topo,0.3045833333333334
